y,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
0,0,6,5,0,3,0,2,9,0,0,1,3,1,0,0,0,0,1,0,0,0,4,0,0,2,1,0,2,1,10,0,0,0,0
1,2,1,1,0,0,0,0,2,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,2,0,0,3,1,0,2,1,10,1,3,4,4,0,4,0,0,0,1,0,0,0,2,0,8,2,0,0,0,2,0
0,0,0,2,0,1,0,3,5,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,3,1,0,3,0,2,0,2,1,0
1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,1,0,0,7,2,0,0,2,12,1,0,4,4,0,2,1,0,1,0,0,0,0,0,12,6,1,0,0,0,11,0
0,0,0,3,0,0,0,0,6,0,0,1,0,1,0,1,1,0,1,0,0,1,3,0,0,0,1,0,4,1,0,0,6,0,0
1,28,0,7,5,16,0,5,0,0,5,1,4,1,5,0,0,3,7,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
0,26,0,7,0,0,0,4,3,0,0,0,6,3,3,0,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,2,5,0,3,0,0,0,6,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0
0,0,0,2,4,1,3,4,10,0,0,0,1,0,0,2,2,0,4,0,0,1,2,0,0,4,0,0,5,0,3,0,0,0,0
1,44,7,19,0,3,9,1,0,0,0,0,9,0,2,1,1,1,1,0,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,8,0,0,1,0,1,0,1,1,0,0,0,1,0,2,0,0,1,1,0,2,0,0,0,1,0,0
1,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,2,0,0,0,2,0,2,0,2,2,0,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,4,0,0,0,5,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,1,3,0,0,1,6,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0
1,17,0,6,0,0,0,2,2,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,0
1,26,0,5,0,0,2,0,0,0,0,1,9,11,0,0,0,0,1,1,0,1,1,3,2,0,0,0,0,0,2,0,0,0,0
1,16,0,3,8,0,0,0,0,0,0,1,0,1,0,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,0,3,0,7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,6,0,0,9,6,0,0,0,1,2,5,10,5,5,0,0,0,0,0,3,0,0,0,2,20,2,0,2,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,7,4,0,0,0,6,0,0,1,7,1,6,0,0,0,2,1,0,4,4,0,0,0,1,0,12,0,0,6,0,0,0
1,16,8,0,2,0,0,0,0,0,0,1,0,1,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,2,1,0,0,0,3,0,0,0,5,0,2,1,1,0,1,1,0,1,4,0,0,0,3,0,0,0,0,3,0,0,0
0,0,0,11,2,0,0,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,3,0
0,0,0,1,0,1,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,10,2,0,0,0,0,0,0
0,0,0,5,0,3,0,1,9,0,0,1,11,1,0,7,7,0,0,0,0,1,5,0,0,1,0,9,4,0,7,0,2,0,0
0,0,0,11,6,16,0,5,0,0,5,1,5,1,5,0,0,0,5,0,0,5,1,0,0,0,2,0,0,0,0,14,0,0,0
1,6,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,7,0,2,6,5,5,0,0,1,8,1,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,6,0,0,5,0
0,0,0,3,1,0,0,0,0,0,0,13,3,1,0,0,0,0,12,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,0
0,0,0,4,0,0,0,0,0,0,0,1,1,1,0,5,5,0,2,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0
0,0,0,7,0,0,0,2,2,0,0,0,3,5,0,4,4,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,24,4,12,0,4,9,0,0,0,0,1,1,3,0,0,0,2,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1,8,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,14,0,7,6,0,0,0,0,0,0,0,0,0,1,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,13,0,3,2,0,0,0,11,2,0,1,3,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,4,0,0,0,2,2,0,0,1,6,1,0,4,4,0,4,1,0,0,0,0,2,2,1,0,1,1,0,1,0,0,13
0,0,0,7,3,0,0,0,2,0,0,1,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,2,1,0,0,0,3,0,0,0,5,0,2,1,1,0,1,1,0,1,4,0,0,0,3,0,0,0,0,3,0,0,0
1,6,0,1,0,0,0,0,2,10,0,4,3,3,0,0,0,0,0,0,5,1,3,1,2,0,0,0,0,0,0,0,0,0,0
0,0,0,4,2,0,0,0,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,1,0
1,17,3,4,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
